NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,pro_9,eff_cost_loan,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
425988478664e7,5514444,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4285715,0.029710638571312828,0.0010891822489002003,0.00411189995903832
4.2764781456199997e+018,10463086,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1.2469938,-0.05604616004680459,0.0016832673534278011,0.23672005746456248
4.2764781456199997e+018,10463085,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1.247,-0.06000066723125404,0.0017549261147517907,0.22447071123670387
4.2764781456199997e+018,10463922,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1.8895714,-0.05159147415525997,0.0014245788677159157,0.2440739985227585
427779801448e7,3592050,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4285715,0.030040912156917482,0.0023778915565291206,0.9985938727736786
427829084757e7,78133123,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.236938,0.13798930902322162,0.0035172273049120816,0.6317944454764276
429458330993e7,78133219,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1.2395194,-0.026902302651038858,6.339287801067125e-4,0.06305578447830257
429458330993e7,78133218,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1.2395198,-0.027134068588865155,9.923966464177715e-4,0.06733948259860009
429458330993e7,78133221,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1.2395208,-0.020209298639794697,6.610561904682777e-4,0.06152059699526958
429458330993e7,78133222,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1.239512,-0.028164175951741647,0.0021978295871977922,0.06788656552964471
