sum_porcp_c,fee_arms,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,edad,faltas,val_pren_std,genero,masqueprepa,prenda,insample,tau_hat_oob$predictions,tau_hat_oob$variance.estimates
0.23694317,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.14285715,-0.43657961,1,0,5514473,0,0.01674528269657066,0.006179260197179108
0.23694307,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.14285715,0.23039143,1,0,5514472,0,0.12866714620845002,0.0037049910049160896
1.2343637,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,-0.63988668,1,1,3595237,1,0.13767870145716238,0.005785479090599007
1.2716013,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.14285715,-0.30121744,0,1,42125786,1,0.06848453693096025,0.004106475484431369
1.473911,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60,0,-0.58517939,0,0,78133246,1,0.08125309327627045,0.00761579350706428
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0.30987504,1,1,78133302,0,0.07191805198425592,0.006278250618742255
0.53089619,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,39,0,-0.10827782,1,1,42124998,1,0.08157488607330264,0.007681903191181592
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0.14285715,-0.43877992,1,0,3594345,1,-0.01594313665639253,0.004316499019454758
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,-0.64047229,0,0,3586696,0,0.09821362628025779,0.0085537453213538
1.150149,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,-0.57826775,1,1,42124869,0,0.1549470587949276,0.007183409765080885
1.0592375,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,-0.65886146,1,0,42123588,0,0.10064676865725462,0.008288810379386733
1.1777084,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61,0.14285715,0.2610026,1,0,3594348,1,0.18579287686742552,0.0020764832335600754
1.2369419,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44,0,-0.18531172,1,0,78134958,0,0.12399855470495463,0.0025598642118686496
1.1004457,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,81,0,-0.54312402,1,0,78134815,0,0.02247485142412892,0.00289903343680881
0.50894547,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,0.14285715,0.37040713,0,0,10462099,0,0.13707573221240468,0.0057186424329151745
1.0154524,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,51,0,2.4893293,1,0,78134951,0,0.186510608551796,0.006743069484217584
1.4713125,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,50,0.14285715,-0.29834726,1,1,80117111,0,0.09152917097407326,0.007029157480327523
0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37,0.2857143,-0.22164965,0,1,78134335,1,0.08808038993931909,0.005547941128510533
1.3510649,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,0.14285715,-0.13879445,1,0,10462438,0,0.12729943376567446,0.0064646079684092354
0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,0,-0.36501375,0,1,80117948,0,0.025118563067549612,0.0022716362203694667
1.2116591,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,39,1,-0.52584499,0,0,42123800,1,0.07370449229671477,0.012416096907236161
1.2152203,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,39,1,-0.21827805,0,0,42123799,1,0.06535602175427747,0.0034673750142806435
1.0997647,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,63,0.14285715,3.9110193,1,1,42124609,0,0.28053332964469835,0.0028847751585596012
1.2369574,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,0,-0.66753316,0,0,80118817,0,0.04785173308243405,0.008253826989170382
1.0489333,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0.14285715,0.25862351,1,1,78134238,0,0.07876962565515469,0.005406625833266478
1.0875655,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,0,2.7813478,0,1,10463611,0,0.08679975662075198,0.0071782792013483044
